,都道府県名,政令市,市,特別区,区,支庁・振興局等,郡,町,村,市町村計,政令以外,都道府県番号
0,北海道,1,34,0,10,14,0,130,15,180,179,1
1,青森県,0,10,0,0,0,8,22,8,40,40,2
2,岩手県,0,13,0,0,0,11,16,6,35,35,3
3,宮城県,1,12,0,5,0,10,22,1,36,35,4
4,秋田県,0,13,0,0,0,6,9,3,25,25,5
5,山形県,0,13,0,0,0,8,19,3,35,35,6
6,福島県,0,12,0,0,0,13,33,16,61,61,7
7,茨城県,0,32,0,0,0,7,10,2,44,44,8
8,栃木県,0,14,0,0,0,6,19,0,33,33,9
9,群馬県,0,12,0,0,0,9,17,10,39,39,10
10,埼玉県,1,39,0,10,0,9,30,1,71,70,11
11,千葉県,1,35,0,6,0,6,17,3,56,55,12
12,東京都,0,26,23,0,4,1,5,8,62,62,13
13,神奈川県,2,17,0,25,0,7,15,1,35,33,14
14,新潟県,0,20,0,0,0,10,9,6,35,35,15
15,富山県,0,10,0,0,0,2,4,1,15,15,16
16,石川県,0,10,0,0,0,6,9,0,19,19,17
17,福井県,0,9,0,0,0,7,8,0,17,17,18
18,山梨県,0,13,0,0,0,6,9,7,29,29,19
19,長野県,0,19,0,0,0,14,25,37,81,81,20
20,岐阜県,0,21,0,0,0,9,19,2,42,42,21
21,静岡県,1,22,0,3,0,9,19,0,42,41,22
22,愛知県,1,34,0,16,0,10,26,2,63,62,23
23,三重県,0,14,0,0,0,7,15,0,29,29,24
24,滋賀県,0,13,0,0,0,5,13,0,26,26,25
25,京都府,1,13,0,11,0,6,13,1,28,27,26
26,大阪府,2,31,0,31,0,5,9,1,43,41,27
27,兵庫県,1,28,0,9,0,8,12,0,41,40,28
28,奈良県,0,12,0,0,0,7,15,12,39,39,29
29,和歌山県,0,9,0,0,0,6,20,1,30,30,30
30,鳥取県,0,4,0,0,0,5,14,1,19,19,31
31,島根県,0,8,0,0,0,7,12,1,21,21,32
32,岡山県,0,15,0,0,0,12,12,2,29,29,33
33,広島県,1,13,0,8,0,5,9,0,23,22,34
34,山口県,0,13,0,0,0,5,9,0,22,22,35
35,徳島県,0,8,0,0,0,8,15,1,24,24,36
36,香川県,0,8,0,0,0,5,9,0,17,17,37
37,愛媛県,0,11,0,0,0,7,9,0,20,20,38
38,高知県,0,11,0,0,0,6,18,6,35,35,39
39,福岡県,2,25,0,14,0,15,38,4,69,67,40
40,佐賀県,0,10,0,0,0,7,13,0,23,23,41
41,長崎県,0,13,0,0,0,4,10,0,23,23,42
42,熊本県,0,14,0,0,0,10,26,8,48,48,43
43,大分県,0,14,0,0,0,3,3,1,18,18,44
44,宮崎県,0,9,0,0,0,8,19,3,31,31,45
45,鹿児島県,0,17,0,0,0,11,28,4,49,49,46
46,沖縄県,0,11,0,0,0,5,11,19,41,41,47
